"Policy domain level 1",,"Policy domain level 2",
"Defence","http://joinup.eu/ontology/policy-domain/category#defence","Defence","http://joinup.eu/ontology/policy-domain#defence"
"Law","http://joinup.eu/ontology/policy-domain/category#law","Law","http://joinup.eu/ontology/policy-domain#law"
"Law","http://joinup.eu/ontology/policy-domain/category#law","eJustice","http://joinup.eu/ontology/policy-domain#ejustice"
"Law","http://joinup.eu/ontology/policy-domain/category#law","European Policies","http://joinup.eu/ontology/policy-domain#european-policies"
"Economics","http://joinup.eu/ontology/policy-domain/category#economics","EU finance","http://joinup.eu/ontology/policy-domain#eu-finance"
"Economics","http://joinup.eu/ontology/policy-domain/category#economics","Economic analysis","http://joinup.eu/ontology/policy-domain#economic-analysis"
"Economics","http://joinup.eu/ontology/policy-domain/category#economics","Financing and investment","http://joinup.eu/ontology/policy-domain#financing-and-investment"
"Economics","http://joinup.eu/ontology/policy-domain/category#economics","Trade","http://joinup.eu/ontology/policy-domain#trade"
"Economics","http://joinup.eu/ontology/policy-domain/category#economics","Taxation","http://joinup.eu/ontology/policy-domain#taxation"
"Social","http://joinup.eu/ontology/policy-domain/category#social","Social","http://joinup.eu/ontology/policy-domain#social"
"Social","http://joinup.eu/ontology/policy-domain/category#social","Demography and population","http://joinup.eu/ontology/policy-domain#demography-and-population"
"Social","http://joinup.eu/ontology/policy-domain/category#social","eInclusion","http://joinup.eu/ontology/policy-domain#einclusion"
"Education","http://joinup.eu/ontology/policy-domain/category#education","Education","http://joinup.eu/ontology/policy-domain#education"
"Education","http://joinup.eu/ontology/policy-domain/category#education","Culture","http://joinup.eu/ontology/policy-domain#culture"
"Information","http://joinup.eu/ontology/policy-domain/category#information","Information","http://joinup.eu/ontology/policy-domain#information"
"Information","http://joinup.eu/ontology/policy-domain/category#information","Statistics","http://joinup.eu/ontology/policy-domain#statistics"
"Information","http://joinup.eu/ontology/policy-domain/category#information","Data gathering and processing","http://joinup.eu/ontology/policy-domain#data-gathering-and-processing"
"Business and competition","http://joinup.eu/ontology/policy-domain/category#business-and-competition","Business and competition","http://joinup.eu/ontology/policy-domain#business-and-competition"
"Science and technology","http://joinup.eu/ontology/policy-domain/category#science-and-technology","Science and technology","http://joinup.eu/ontology/policy-domain#science-and-technology"
"Human resources","http://joinup.eu/ontology/policy-domain/category#human-resources","Human resources","http://joinup.eu/ontology/policy-domain#human-resources"
"Human resources","http://joinup.eu/ontology/policy-domain/category#human-resources","Employment","http://joinup.eu/ontology/policy-domain#employment"
"Human resources","http://joinup.eu/ontology/policy-domain/category#human-resources","Personnel management and staff remuneration","http://joinup.eu/ontology/policy-domain#personnel-management-and-staff-remuneration"
"Human resources","http://joinup.eu/ontology/policy-domain/category#human-resources","Transport","http://joinup.eu/ontology/policy-domain#transport"
"Transport","http://joinup.eu/ontology/policy-domain/category#transport","Land transport","http://joinup.eu/ontology/policy-domain#land-transport"
"Transport","http://joinup.eu/ontology/policy-domain/category#transport","Maritime and inland waterway transport","http://joinup.eu/ontology/policy-domain#maritime-and-inland-waterway-transport"
"Transport","http://joinup.eu/ontology/policy-domain/category#transport","Air and space transport","http://joinup.eu/ontology/policy-domain#air-and-space-transport"
"Environment","http://joinup.eu/ontology/policy-domain/category#environment","Environment","http://joinup.eu/ontology/policy-domain#environment"
"Energy","http://joinup.eu/ontology/policy-domain/category#energy","Energy","http://joinup.eu/ontology/policy-domain#energy"
"Industry and production","http://joinup.eu/ontology/policy-domain/category#industry-and-production","Industry and production","http://joinup.eu/ontology/policy-domain#industry-and-production"
"Geography","http://joinup.eu/ontology/policy-domain/category#geography","Geography","http://joinup.eu/ontology/policy-domain#geography"
"eHealth","http://joinup.eu/ontology/policy-domain/category#ehealth","eHealth","http://joinup.eu/ontology/policy-domain#ehealth"
"eGovernment","http://joinup.eu/ontology/policy-domain/category#egovernment","eGovernment","http://joinup.eu/ontology/policy-domain#egovernment"
"eGovernment","http://joinup.eu/ontology/policy-domain/category#egovernment","eIdentity and eSignature","http://joinup.eu/ontology/policy-domain#eidentity-and-esignature"
"eGovernment","http://joinup.eu/ontology/policy-domain/category#egovernment","Open government","http://joinup.eu/ontology/policy-domain#open-government"
"eGovernment","http://joinup.eu/ontology/policy-domain/category#egovernment","eProcurement","http://joinup.eu/ontology/policy-domain#eprocurement"
"ICT Standardization","http://joinup.eu/ontology/policy-domain/category#ict-standardization","ICT standardization","http://joinup.eu/ontology/policy-domain#ict-standardization"
"Geospatial","http://joinup.eu/ontology/policy-domain/category#geospatial","Geospatial","http://joinup.eu/ontology/policy-domain#geospatial"
"Politics","http://joinup.eu/ontology/policy-domain/category#politics","Electoral procedure and voting","http://joinup.eu/ontology/policy-domain#electoral-procedure-and-voting"
